Frame;TotalDC;TotalAC;TotalMV;TotalEntropy
0;8331;281771;0;293270
1;5792;235473;2407;243672
2;5573;216860;2421;224854
3;5657;235285;2428;243370
4;5691;237065;2404;245160
5;5640;230898;2458;238996
6;5476;205604;2319;213399
7;5399;219034;2256;226689
8;8241;280847;0;292256
9;5922;243938;2416;252276
10;5538;218763;2458;226759
11;5644;230510;2482;238636
12;5676;226830;2506;235012
13;5528;208557;2392;216477
14;5403;206104;2240;213747
15;5318;205939;2317;213574
16;8200;280241;0;291609
17;5859;244013;2544;252416
18;5479;228169;2404;236052
19;5514;220313;2368;228195
20;5550;217057;2373;224980
21;5513;225550;2247;233310
22;5473;241465;2175;249113
23;5651;253572;2519;261742
24;8185;278799;0;290152
25;6200;258394;2773;267367
26;5930;254858;2673;263461
27;6033;256619;3000;265652
28;5875;258707;2921;267503
29;5740;254566;2927;263233
30;5859;251178;3125;260162
31;5898;252953;3021;261872
32;7981;265581;0;276730
33;5969;245010;3088;254067
34;6029;248386;3275;257690
35;6013;246199;3393;255605
36;6054;245699;3337;255090
37;6069;246509;3252;255830
38;6254;245408;3428;255090
39;6215;246683;3446;256344
40;7931;255830;0;266929
41;6286;238339;3230;247855
42;6335;237673;3417;247425
43;6347;241026;3513;250886
44;6601;241684;3562;251847
45;6545;242629;3716;252890
46;6647;243280;3811;253738
47;6449;241820;3683;251952
48;8041;250347;0;261556
49;6469;236311;3590;246370
50;6603;240324;3614;250541
51;6641;242179;3604;252424
52;6661;243963;3556;254180
53;6710;245659;3462;255831
54;6615;244368;3513;254496
55;6605;246162;3493;256260
56;8621;258918;0;270707
57;6456;239437;3478;249371
58;6331;240810;3377;250518
59;6380;240053;3514;249947
60;6413;241899;3577;251889
61;6446;244928;3602;254976
62;6480;243846;3610;253936
63;6446;244661;3622;254729
64;8749;261395;0;273312
65;6382;240375;3411;250168
66;6255;240573;3349;250177
67;6396;241845;3332;251573
68;6407;242441;3359;252207
69;6436;244306;3366;254108
70;6434;247051;3485;256970
71;6398;247632;3488;257518
72;8682;263974;0;275824
73;6481;238388;3569;248438
74;6475;243145;3403;253023
75;6547;246605;3520;256672
76;6673;248075;3505;258253
77;6682;248314;3509;258505
78;6705;249293;3524;259522
79;6644;252229;3438;262311
80;8772;264039;0;275979
81;6538;243056;3464;253058
82;6547;246862;3373;256782
83;6579;246236;3460;256275
84;6523;245149;3492;255164
85;6613;247022;3456;257091
86;6629;247391;3454;257474
87;6471;246034;3447;255952
88;8844;261258;0;273270
89;6524;240445;3458;250427
90;6417;238972;3208;248597
91;6410;240309;3296;250015
92;6417;238799;3374;248590
93;6426;238820;3173;248419
94;6255;238363;3224;247842
95;6298;238224;3114;247636
96;8594;256236;0;267998
97;6167;231962;3355;241484
98;6226;231246;3193;240665
99;6270;232165;3049;241484
100;6337;232187;3017;241541
101;6223;233454;3193;242870
102;6240;233203;3016;242459
103;6320;231959;3027;241306
104;8454;254737;0;266359
105;6152;227465;3322;236939
106;5978;224043;2773;232794
107;5557;210551;2495;218603
108;5373;190777;2395;198545
109;5295;188544;2270;196109
110;5333;184566;2278;192177
111;5272;181549;2229;189050
112;8367;252923;0;264458
113;5601;197637;2891;206129
114;5218;191028;2368;198614
115;5239;186796;2288;194323
116;5212;180851;2322;188385
117;5191;179177;2299;186667
118;5188;178468;2258;185914
119;5234;181111;2240;188585
120;8474;254228;0;265870
121;5562;196446;2909;204917
122;5237;189958;2465;197660
123;5337;186586;2399;194322
124;5372;182825;2420;190617
125;5356;181280;2369;189005
126;5363;181148;2337;188848
127;5378;183633;2383;191394
128;8460;253248;0;264876
129;5837;200841;2894;209572
130;5659;191986;2555;200200
131;10901;315795;4853;331549
132;5743;216867;2894;225504
133;5529;198252;2622;206403
134;5427;192887;2487;200801
135;5378;190304;2385;198067
136;8122;262718;0;274008
137;5566;201209;2708;209483
138;5333;190620;2315;198268
139;5237;183278;2249;190764
140;5199;179736;2240;187175
141;5104;175601;2188;182893
142;5230;177151;2249;184630
143;5315;178478;2273;186066
144;8129;261149;0;272446
145;5800;203057;2833;211690
146;5618;193758;2473;201849
147;5644;188819;2507;196970
148;5546;186791;2470;194807
149;5488;186769;2492;194749
150;5462;181952;2366;189780
151;5401;184403;2329;192133
152;8230;265043;0;276441
153;5733;202071;2636;210440
154;5326;189490;2315;197131
155;5237;187557;2256;195050
156;5256;185340;2270;192866
157;5313;184174;2289;191776
158;5371;182610;2298;190279
159;5291;180833;2272;188396
160;8225;264750;0;276143
161;5519;199176;2578;207273
162;5338;191326;2401;199065
163;5250;185201;2335;192786
164;5233;180098;2294;187625
165;5174;177522;2282;184978
166;5129;175874;2211;183214
167;5164;174433;2225;181822
168;8260;264735;0;276163
169;5567;198526;2584;206677
170;5274;189423;2344;197041
171;5235;186757;2284;194276
172;5305;186459;2313;194077
173;5363;185939;2330;193632
174;5381;184778;2346;192505
175;5287;181850;2297;189434
176;8252;265600;0;277020
177;5547;200161;2559;208267
178;5316;189714;2459;197489
179;5266;184822;2345;192433
180;5299;182856;2316;190471
181;5287;181229;2313;188829
182;5366;180390;2296;188052
183;5412;180628;2337;188377
184;8175;262291;0;273634
185;5661;203088;2775;211524
186;5617;194586;2488;202691
187;5553;187726;2510;195789
188;5582;187324;2522;195428
189;5568;184681;2460;192709
190;5566;182330;2469;190365
191;5541;182640;2432;190613
192;8116;259821;0;271105
193;5697;203241;2869;211807
194;5435;193198;2553;201186
195;5485;187259;2379;195123
196;5394;185516;2343;193253
197;5431;183679;2352;191462
198;5522;185458;2394;193374
199;5572;185244;2339;193155
200;8250;259776;0;271194
201;5760;201609;2789;210158
202;5470;193365;2463;201298
203;5438;188768;2361;196567
204;5327;185912;2285;193524
205;5291;180372;2280;187943
206;5228;179276;2249;186753
207;5208;177708;2237;185153
208;8272;262681;0;274121
209;5585;202186;2688;210459
210;5451;193721;2410;201582
211;5369;189418;2377;197164
212;5349;186752;2360;194461
213;5345;185408;2408;193161
214;5432;185947;2365;193744
215;5492;184994;2364;192850
216;8172;262669;0;274009
217;5855;204534;2880;213269
218;5547;194539;2682;202768
219;5630;191417;2531;199578
220;5576;187442;2470;195488
221;5474;186395;2397;194266
222;5378;181635;2297;189310
223;5278;179466;2255;186999
224;8227;262849;0;274244
225;5484;198395;2581;206460
226;5310;189871;2360;197541
227;5294;186806;2262;194362
228;5219;180257;2180;187656
229;5143;176826;2156;184125
230;5123;174773;2159;182055
231;5141;176967;2257;184365
232;8263;262572;0;274003
233;5667;203534;2634;211835
234;5379;192736;2491;200606
235;5390;187329;2391;195110
236;5387;184869;2291;192547
237;5366;180633;2308;188307
238;5338;180761;2311;188410
239;5294;176780;2252;184326
240;8067;261447;0;272682
241;5434;196004;2595;204033
242;5264;187752;2373;195389
243;5341;184789;2332;192462
244;5421;181671;2373;189465
245;5522;182776;2386;190684
246;5655;182688;2531;190874
247;5679;184025;2547;192251
248;8193;262253;0;273614
249;5812;204552;2852;213216
250;5519;192297;2516;200332
251;5558;193092;2428;201078
252;5422;188258;2284;195964
253;5310;182294;2233;189837
254;5262;179807;2224;187293
255;5173;177640;2218;185031
256;8219;266609;0;277996
257;5579;202471;2602;210652
258;5323;191243;2398;198964
259;5293;186600;2321;194214
260;5291;188996;2384;196671
261;5314;184599;2318;192231
262;5302;184353;2326;191981
263;5342;184099;2311;191752
264;8362;264187;0;275717
265;5511;202715;2665;210891
266;5321;191059;2418;198798
267;5220;185872;2343;193435
268;5222;181111;2344;188677
269;5152;178403;2186;185741
270;5154;178968;2221;186343
271;5067;173152;2120;180339
272;8173;262854;0;274195
273;5325;196952;2488;204765
274;5092;184233;2267;191592
275;5131;181336;2273;188740
276;5177;180460;2244;187881
277;5242;181974;2262;189478
278;5256;180018;2325;187599
279;5381;179685;2316;187382
280;8225;263907;0;275300
281;5672;201866;2700;210238
282;5266;190210;2485;197961
283;5302;185779;2416;193497
284;5257;183276;2388;190921
285;5313;181517;2304;189134
286;5333;181532;2389;189254
287;5372;180964;2358;188694
288;8222;262221;0;273611
289;5642;202718;2689;211049
290;5382;192054;2436;199872
291;5280;186781;2328;194389
292;5288;181122;2351;188761
293;5228;179434;2258;186920
294;5251;179406;2263;186920
295;5288;177982;2227;185497
296;8159;262254;0;273581
297;5675;198475;2617;206767
298;5375;187088;2421;194884
299;5276;181966;2361;189603
